date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-06-23,1.028,0.6511,125.55,1.5689,1.9328,1.5788665335585932,122.13035019455252,1.2319459493912934,80.02422079163745,64.95757450331125,0.6552361527184652,0.5318708609271523,192.8275226539702
1999-06-24,1.0321,0.6533,126.05,1.5672,1.9246,1.579825501301087,122.12963860091077,1.2280500255232263,80.43006636038795,65.4941286501091,0.6585630423685555,0.5362672763171568,192.9435175264044
1999-06-25,1.0443,0.6578,126.8,1.5746,1.9471,1.5875646093037397,121.42104759168821,1.2365680172742284,80.5283881620729,65.12248985670998,0.6632160548710784,0.5363360895691027,192.76375798114927
1999-06-28,1.0388,0.6564,125.96,1.5781,1.9428,1.582571602681292,121.25529457065845,1.2311006907040112,79.81750205943855,64.8342598311715,0.658259932830619,0.5346921968293185,191.8951858622791
1999-06-29,1.0364,0.6544,125.3,1.5775,1.9503,1.5837408312958436,120.89926669239675,1.2363232963549922,79.42947702060222,64.24652617546019,0.6569889064976229,0.53140542480644,191.47310513447434
1999-06-30,1.0328,0.6563,124.82,1.5598,1.9404,1.573670577479811,120.8559256390395,1.244005641748942,80.02307988203616,64.32694289837147,0.6621361713040133,0.5322613894042465,190.1874142922444
1999-07-01,1.0264,0.6502,124.12,1.5336,1.9164,1.5785912027068594,120.92751363990648,1.2496087636932707,80.93375065206051,64.76727196827385,0.6692749087115284,0.535587560008349,190.89510919717011
1999-07-02,1.0241,0.6498,123.93,1.5347,1.9242,1.5760233918128654,121.01357289327214,1.2537955300710237,80.7519384896071,64.40598690364827,0.6672965400403988,0.5322211828292278,190.7202216066482
1999-07-05,1.0232,0.6491,125.18,1.537,1.9327,1.5763364658758283,122.34167318217357,1.2574495770982435,81.44437215354587,64.76949345475242,0.6657124268054653,0.5294148082992705,192.85164073332308
1999-07-06,1.0221,0.6514,124.87,1.5274,1.9244,1.5690819772797053,122.17004207024753,1.2599188162891188,81.75330627209637,64.88775722303055,0.6691763781589629,0.5311265849095822,191.69481117592878
1999-07-07,1.0222,0.6563,124.77,1.5417,1.9496,1.5575194270912693,122.0602621796126,1.2645780631770123,80.93014205098268,63.997743126795235,0.6630343127716157,0.524312679524005,190.11122962060034
1999-07-08,1.0182,0.6544,124.72,1.5342,1.9465,1.5559290953545233,122.49066980946769,1.2687394081606047,81.29318211445704,64.07397893655279,0.6636683613609698,0.5230927305419985,190.58679706601467
